Time, HydroPower, WindPower, SolarPower
2022/1/4/14/1, 2102.792, 1406.238, 6.78
2022/1/4/15/1, 2151.66, 1442.628, 2.824
2022/1/4/16/1, 2166.751, 1492.044, 0.0
2022/1/4/17/1, 2182.882, 1538.623, 0.0
2022/1/4/18/1, 2212.354, 1531.608, 0.0
2022/1/4/19/1, 2187.259, 1495.336, 0.0
2022/1/4/20/1, 2145.055, 1378.101, 0.0
2022/1/4/21/1, 2052.298, 1304.141, 0.0
2022/1/4/22/1, 1999.442, 1206.925, 0.0
2022/1/4/23/1, 1778.585, 1136.81, 0.0
2022/1/4/24/1, 1494.975, 1010.816, 0.0
2022/1/5/1/1, 1165.571, 906.962, 0.0
2022/1/5/2/1, 1122.395, 817.713, 0.0
2022/1/5/3/1, 992.195, 711.336, 0.0
2022/1/5/4/1, 954.131, 619.88, 0.0
2022/1/5/5/1, 884.167, 590.388, 0.0
2022/1/5/6/1, 1047.63, 461.037, 0.0
2022/1/5/7/1, 1370.382, 383.196, 0.0
2022/1/5/8/1, 1731.586, 320.502, 0.0
2022/1/5/9/1, 2060.598, 288.891, 0.0
2022/1/5/10/1, 2087.877, 239.47, 0.0
2022/1/5/11/1, 2144.97, 199.887, 2.174
2022/1/5/12/1, 2099.691, 146.818, 5.988
2022/1/5/13/1, 2113.769, 109.573, 6.916
2022/1/5/14/1, 2100.82, 123.813, 6.271
2022/1/5/15/1, 2076.33, 168.559, 2.13
2022/1/5/16/1, 2067.164, 228.438, 0.0
2022/1/5/17/1, 2218.233, 298.064, 0.0
2022/1/5/18/1, 2256.112, 417.425, 0.0
2022/1/5/19/1, 2253.079, 490.26, 0.0
2022/1/5/20/1, 2195.205, 616.249, 0.0
2022/1/5/21/1, 2066.088, 691.985, 0.0
2022/1/5/22/1, 1797.09, 717.669, 0.0
2022/1/5/23/1, 1551.303, 787.598, 0.0
2022/1/5/24/1, 1484.269, 814.346, 0.0
2022/1/6/1/1, 1208.047, 814.787, 0.0
2022/1/6/2/1, 1012.479, 837.543, 0.0
2022/1/6/3/1, 880.092, 840.819, 0.0
2022/1/6/4/1, 886.992, 898.645, 0.0
2022/1/6/5/1, 991.079, 893.343, 0.0
2022/1/6/6/1, 1160.38, 891.088, 0.0
2022/1/6/7/1, 1183.872, 1032.755, 0.0
2022/1/6/8/1, 1469.921, 1187.79, 0.0
2022/1/6/9/1, 1818.482, 1462.903, 0.0
2022/1/6/10/1, 1983.953, 1747.957, 0.021
2022/1/6/11/1, 2185.12, 1799.638, 3.502
2022/1/6/12/1, 2168.949, 1737.683, 11.767
2022/1/6/13/1, 2121.04, 1729.517, 18.206
2022/1/6/14/1, 2104.471, 1651.397, 16.045
2022/1/6/15/1, 2061.182, 1578.716, 6.797
2022/1/6/16/1, 2187.521, 1737.57, 0.0
2022/1/6/17/1, 2216.153, 1837.579, 0.0
2022/1/6/18/1, 2292.887, 1849.866, 0.0
2022/1/6/19/1, 2278.809, 1908.909, 0.0
2022/1/6/20/1, 2216.543, 2061.315, 0.0
2022/1/6/21/1, 2043.718, 2067.006, 0.0
2022/1/6/22/1, 1924.329, 1972.038, 0.0
2022/1/6/23/1, 1701.511, 1941.579, 0.0
2022/1/6/24/1, 1624.071, 1914.386, 0.0
2022/1/7/1/1, 1465.427, 1985.779, 0.0
2022/1/7/2/1, 1288.978, 2022.451, 0.0
2022/1/7/3/1, 1303.013, 2195.365, 0.0
2022/1/7/4/1, 1260.52, 2218.757, 0.0
2022/1/7/5/1, 1303.259, 2164.536, 0.0
2022/1/7/6/1, 1393.837, 2127.158, 0.0
2022/1/7/7/1, 1382.437, 2143.217, 0.0
2022/1/7/8/1, 1650.349, 2015.068, 0.0
2022/1/7/9/1, 1933.95, 1863.812, 0.0
2022/1/7/10/1, 1971.82, 1758.746, 0.035
2022/1/7/11/1, 1996.147, 1675.799, 3.682
2022/1/7/12/1, 2041.351, 1546.787, 10.946
2022/1/7/13/1, 2073.127, 1437.865, 16.071
2022/1/7/14/1, 2007.992, 1305.365, 12.301
2022/1/7/15/1, 1976.994, 1198.12, 4.988
2022/1/7/16/1, 2148.167, 1205.081, 0.0
2022/1/7/17/1, 2232.536, 1173.12, 0.0
2022/1/7/18/1, 2360.33, 1115.05, 0.0
2022/1/7/19/1, 2388.039, 1038.435, 0.0
2022/1/7/20/1, 2290.593, 983.736, 0.0
2022/1/7/21/1, 2230.76, 903.04, 0.0
2022/1/7/22/1, 2021.41, 807.088, 0.0
2022/1/7/23/1, 1927.058, 584.414, 0.0
2022/1/7/24/1, 1722.514, 344.546, 0.0
2022/1/8/1/1, 1738.463, 217.471, 0.0
2022/1/8/2/1, 1621.502, 159.938, 0.0
2022/1/8/3/1, 1464.432, 122.093, 0.0
2022/1/8/4/1, 1284.134, 121.695, 0.0
2022/1/8/5/1, 1296.89, 141.737, 0.0
2022/1/8/6/1, 1300.004, 182.027, 0.0
2022/1/8/7/1, 1376.82, 241.147, 0.0
2022/1/8/8/1, 1611.31, 275.451, 0.0
2022/1/8/9/1, 1696.771, 348.859, 0.0
2022/1/8/10/1, 1769.705, 449.525, 0.083
2022/1/8/11/1, 1861.544, 622.571, 3.602
2022/1/8/12/1, 1909.51, 683.575, 8.937
2022/1/8/13/1, 2049.423, 706.428, 9.888
2022/1/8/14/1, 2019.507, 754.978, 7.32
2022/1/8/15/1, 2043.394, 814.433, 2.639
2022/1/8/16/1, 1975.363, 895.451, 0.0
2022/1/8/17/1, 2128.521, 1029.787, 0.0
2022/1/8/18/1, 2139.959, 1171.601, 0.0
2022/1/8/19/1, 2198.212, 1150.141, 0.0
2022/1/8/20/1, 2153.109, 1178.009, 0.0
2022/1/8/21/1, 2033.976, 1195.278, 0.0
2022/1/8/22/1, 1667.08, 1084.085, 0.0
2022/1/8/23/1, 1497.187, 1039.313, 0.0
2022/1/8/24/1, 1301.68, 978.382, 0.0
2022/1/9/1/1, 1203.49, 870.248, 0.0
2022/1/9/2/1, 1134.619, 754.102, 0.0
2022/1/9/3/1, 1156.564, 620.795, 0.0
2022/1/9/4/1, 1225.314, 536.346, 0.0
2022/1/9/5/1, 1139.137, 439.349, 0.0
2022/1/9/6/1, 1237.679, 387.705, 0.0
2022/1/9/7/1, 1395.257, 304.947, 0.0
2022/1/9/8/1, 1511.084, 236.915, 0.0
2022/1/9/9/1, 1567.954, 205.876, 0.0
2022/1/9/10/1, 1709.274, 211.608, 0.075
2022/1/9/11/1, 1844.747, 231.29, 2.375
2022/1/9/12/1, 1805.767, 244.814, 8.797
2022/1/9/13/1, 1822.125, 253.538, 8.637
2022/1/9/14/1, 1933.366, 220.793, 6.805
2022/1/9/15/1, 1969.276, 197.73, 2.793
2022/1/9/16/1, 2133.525, 213.586, 0.0
2022/1/9/17/1, 2162.777, 266.804, 0.0
2022/1/9/18/1, 2301.72, 296.312, 0.0
2022/1/9/19/1, 2273.484, 304.743, 0.0
2022/1/9/20/1, 2144.195, 328.862, 0.0
2022/1/9/21/1, 2134.942, 358.45, 0.0
2022/1/9/22/1, 1913.726, 330.582, 0.0
2022/1/9/23/1, 1900.062, 283.395, 0.0
2022/1/9/24/1, 1937.867, 220.297, 0.0
2022/1/10/1/2, 1810.853, 157.95, 0.0
2022/1/10/2/2, 1462.074, 117.824, 0.0
2022/1/10/3/2, 1365.644, 112.603, 0.0
2022/1/10/4/2, 1350.753, 92.714, 0.0
2022/1/10/5/2, 1385.336, 91.813, 0.0
2022/1/10/6/2, 1514.322, 80.224, 0.0
2022/1/10/7/2, 1781.162, 76.602, 0.0
2022/1/10/8/2, 1885.339, 76.774, 0.0
2022/1/10/9/2, 2176.047, 66.783, 0.0
2022/1/10/10/2, 2486.2, 75.012, 0.409
2022/1/10/11/2, 2488.018, 90.005, 6.709
2022/1/10/12/2, 2446.078, 70.986, 21.596
2022/1/10/13/2, 2361.382, 60.359, 25.849
2022/1/10/14/2, 2326.099, 80.182, 21.289
2022/1/10/15/2, 2359.569, 97.537, 8.656
2022/1/10/16/2, 2262.57, 106.07, 0.103
2022/1/10/17/2, 2227.884, 119.23, 0.0
2022/1/10/18/2, 2366.068, 144.124, 0.0
2022/1/10/19/2, 2502.921, 158.708, 0.0
2022/1/10/20/2, 2343.071, 259.069, 0.0
2022/1/10/21/2, 2201.355, 408.943, 0.0
2022/1/10/22/2, 1945.456, 582.058, 0.0
2022/1/10/23/2, 1822.761, 775.527, 0.0
2022/1/10/24/2, 1640.441, 1092.179, 0.0
2022/1/11/1/2, 1532.05, 1414.388, 0.0
2022/1/11/2/2, 1558.19, 1725.494, 0.0
2022/1/11/3/2, 1464.616, 1952.621, 0.0
2022/1/11/4/2, 1376.03, 2131.4, 0.0
2022/1/11/5/2, 1393.942, 2234.64, 0.0
2022/1/11/6/2, 1519.451, 2280.319, 0.0
2022/1/11/7/2, 1816.17, 2305.998, 0.0
2022/1/11/8/2, 1984.025, 2362.145, 0.0
2022/1/11/9/2, 2222.706, 2407.445, 0.0
2022/1/11/10/2, 2250.948, 2393.483, 0.411
2022/1/11/11/2, 2286.418, 2398.128, 5.048
2022/1/11/12/2, 2247.544, 2432.272, 14.186
2022/1/11/13/2, 2045.45, 2517.413, 14.221
2022/1/11/14/2, 2102.923, 2537.379, 12.072
2022/1/11/15/2, 2022.583, 2536.862, 5.371
2022/1/11/16/2, 1940.438, 2574.218, 0.117
2022/1/11/17/2, 2044.155, 2461.163, 0.0
2022/1/11/18/2, 2198.143, 2429.717, 0.0
2022/1/11/19/2, 2206.295, 2352.416, 0.0
2022/1/11/20/2, 2280.937, 2411.097, 0.0
2022/1/11/21/2, 2217.561, 2455.108, 0.0
2022/1/11/22/2, 1925.509, 2457.86, 0.0
2022/1/11/23/2, 1720.315, 2434.163, 0.0
2022/1/11/24/2, 1580.871, 2381.969, 0.0
2022/1/12/1/2, 1445.81, 2355.441, 0.0
2022/1/12/2/2, 1485.473, 2256.465, 0.0
2022/1/12/3/2, 1363.735, 2164.829, 0.0
2022/1/12/4/2, 1164.351, 2141.61, 0.0
2022/1/12/5/2, 1048.239, 2088.791, 0.0
2022/1/12/6/2, 1258.448, 2143.509, 0.0
2022/1/12/7/2, 1794.108, 2198.298, 0.0
2022/1/12/8/2, 2037.426, 2288.523, 0.0
2022/1/12/9/2, 2291.359, 2323.003, 0.0
2022/1/12/10/2, 2205.601, 2355.215, 0.173
2022/1/12/11/2, 2108.336, 2448.403, 1.879
2022/1/12/12/2, 2101.503, 2582.857, 7.004
2022/1/12/13/2, 2060.359, 2662.93, 9.404
2022/1/12/14/2, 1917.146, 2610.516, 8.42
2022/1/12/15/2, 1856.972, 2680.81, 3.123
2022/1/12/16/2, 1881.033, 2707.389, 0.209
2022/1/12/17/2, 1912.795, 2663.983, 0.0
2022/1/12/18/2, 2061.412, 2679.768, 0.0
2022/1/12/19/2, 2074.206, 2688.997, 0.0
2022/1/12/20/2, 1881.693, 2709.131, 0.0
2022/1/12/21/2, 1759.028, 2702.098, 0.0
2022/1/12/22/2, 1346.49, 2684.33, 0.0
2022/1/12/23/2, 895.257, 2692.549, 0.0
2022/1/12/24/2, 772.972, 2703.975, 0.0
2022/1/13/1/2, 688.917, 2716.631, 0.0
2022/1/13/2/2, 756.817, 2639.457, 0.0
2022/1/13/3/2, 750.939, 2559.767, 0.0
2022/1/13/4/2, 758.436, 2538.694, 0.0
2022/1/13/5/2, 743.894, 2578.131, 0.0
2022/1/13/6/2, 765.611, 2612.994, 0.0
2022/1/13/7/2, 962.397, 2615.838, 0.0
2022/1/13/8/2, 1055.944, 2677.232, 0.0
2022/1/13/9/2, 1429.564, 2670.944, 0.0
2022/1/13/10/2, 1550.227, 2679.19, 0.804
2022/1/13/11/2, 1484.564, 2656.951, 5.873
2022/1/13/12/2, 1401.299, 2612.04, 20.909
2022/1/13/13/2, 1471.219, 2591.432, 23.933
2022/1/13/14/2, 1443.502, 2563.685, 18.747
2022/1/13/15/2, 1363.702, 2587.354, 7.927
2022/1/13/16/2, 1455.535, 2567.195, 0.722
2022/1/13/17/2, 1551.522, 2502.766, 0.0
2022/1/13/18/2, 1614.427, 2689.596, 0.0
2022/1/13/19/2, 1755.635, 2616.076, 0.0
2022/1/13/20/2, 1502.213, 2535.117, 0.0
2022/1/13/21/2, 1294.53, 2522.44, 0.0
2022/1/13/22/2, 1054.481, 2643.764, 0.0
2022/1/13/23/2, 923.532, 2652.429, 0.0
2022/1/13/24/2, 883.214, 2702.279, 0.0
2022/1/14/1/2, 730.857, 2683.658, 0.0
2022/1/14/2/2, 655.943, 2707.693, 0.0
2022/1/14/3/2, 564.012, 2740.343, 0.0
2022/1/14/4/2, 571.98, 2697.511, 0.0
2022/1/14/5/2, 623.571, 2588.642, 0.0
2022/1/14/6/2, 720.008, 2627.77, 0.0
2022/1/14/7/2, 978.925, 2680.249, 0.0
2022/1/14/8/2, 1302.69, 2735.115, 0.0
2022/1/14/9/2, 1754.452, 2655.958, 0.0
2022/1/14/10/2, 1708.448, 2673.698, 0.635
2022/1/14/11/2, 1604.919, 2682.333, 4.951
2022/1/14/12/2, 1671.466, 2695.985, 17.378
2022/1/14/13/2, 1644.141, 2718.982, 24.602
2022/1/14/14/2, 1555.411, 2743.275, 18.415
2022/1/14/15/2, 1442.523, 2825.65, 8.252
2022/1/14/16/2, 1657.273, 2875.416, 0.636
2022/1/14/17/2, 2045.1, 2897.568, 0.0
2022/1/14/18/2, 2302.273, 2913.624, 0.0
2022/1/14/19/2, 2400.08, 2918.147, 0.0
2022/1/14/20/2, 2302.214, 2899.789, 0.0
2022/1/14/21/2, 1860.131, 2886.729, 0.0
2022/1/14/22/2, 1362.133, 2872.536, 0.0
2022/1/14/23/2, 1067.409, 2806.174, 0.0
2022/1/14/24/2, 973.282, 2747.131, 0.0
2022/1/15/1/2, 723.475, 2776.204, 0.0
2022/1/15/2/2, 591.333, 2776.381, 0.0
2022/1/15/3/2, 559.701, 2824.166, 0.0
2022/1/15/4/2, 552.579, 2848.178, 0.0
2022/1/15/5/2, 571.426, 2849.426, 0.0
2022/1/15/6/2, 662.978, 2851.785, 0.0
2022/1/15/7/2, 726.369, 2794.962, 0.0
2022/1/15/8/2, 884.135, 2772.018, 0.0
2022/1/15/9/2, 1058.899, 2716.267, 0.0
2022/1/15/10/2, 1218.441, 2665.458, 1.166
2022/1/15/11/2, 1374.136, 2607.116, 6.986
2022/1/15/12/2, 1492.342, 2432.321, 25.468
2022/1/15/13/2, 1599.056, 2237.87, 28.444
2022/1/15/14/2, 1654.806, 2171.357, 23.884
2022/1/15/15/2, 1841.138, 1981.272, 11.666
2022/1/15/16/2, 2020.075, 1727.113, 1.329
2022/1/15/17/2, 2209.455, 1453.458, 0.0
2022/1/15/18/2, 2313.698, 1428.563, 0.0
2022/1/15/19/2, 2338.392, 1314.352, 0.0
2022/1/15/20/2, 2267.164, 1246.224, 0.0
2022/1/15/21/2, 2176.192, 1539.174, 0.0
2022/1/15/22/2, 2008.532, 2144.534, 0.0
2022/1/15/23/2, 1505.957, 2402.845, 0.0
2022/1/15/24/2, 1207.146, 2547.796, 0.0
2022/1/16/1/2, 995.893, 2641.798, 0.0
2022/1/16/2/2, 844.621, 2708.306, 0.0
2022/1/16/3/2, 719.118, 2747.086, 0.0
2022/1/16/4/2, 703.509, 2671.057, 0.0
2022/1/16/5/2, 679.15, 2632.074, 0.0
2022/1/16/6/2, 676.16, 2618.102, 0.0
2022/1/16/7/2, 793.309, 2542.877, 0.0
2022/1/16/8/2, 848.42, 2530.682, 0.0
2022/1/16/9/2, 1146.741, 2573.389, 0.0
2022/1/16/10/2, 1199.231, 2584.046, 1.182
2022/1/16/11/2, 1261.745, 2591.667, 4.067
2022/1/16/12/2, 1395.453, 2652.863, 10.831
2022/1/16/13/2, 1414.835, 2684.167, 11.526
2022/1/16/14/2, 1326.458, 2767.395, 9.443
2022/1/16/15/2, 1237.563, 2772.775, 4.733
2022/1/16/16/2, 1174.238, 2757.04, 0.534
2022/1/16/17/2, 1169.856, 2791.267, 0.0
2022/1/16/18/2, 1367.416, 2828.404, 0.0
2022/1/16/19/2, 1598.725, 2803.84, 0.0
2022/1/16/20/2, 1488.051, 2720.399, 0.0
2022/1/16/21/2, 1262.105, 2527.643, 0.0
2022/1/16/22/2, 1131.595, 2502.798, 0.0
2022/1/16/23/2, 924.108, 2548.924, 0.0
2022/1/16/24/2, 932.985, 2403.95, 0.0
2022/1/17/1/3, 1060.456, 2021.055, 0.0
2022/1/17/2/3, 1018.562, 1926.495, 0.0
2022/1/17/3/3, 775.347, 1984.147, 0.0
2022/1/17/4/3, 636.525, 2264.026, 0.0
2022/1/17/5/3, 625.56, 2461.51, 0.0
2022/1/17/6/3, 764.739, 2538.478, 0.0
2022/1/17/7/3, 1150.536, 2596.189, 0.0
2022/1/17/8/3, 1511.863, 2724.378, 0.0
2022/1/17/9/3, 1780.065, 2770.107, 0.0
2022/1/17/10/3, 1655.404, 2797.198, 0.558
2022/1/17/11/3, 1629.145, 2800.333, 6.745
2022/1/17/12/3, 1721.137, 2738.599, 24.573
2022/1/17/13/3, 1632.338, 2778.876, 30.747
2022/1/17/14/3, 1454.05, 2777.205, 27.59
2022/1/17/15/3, 1617.283, 2747.824, 14.69
2022/1/17/16/3, 1845.434, 2701.292, 2.073
2022/1/17/17/3, 2204.901, 2839.666, 0.0
2022/1/17/18/3, 2350.843, 2875.243, 0.0
2022/1/17/19/3, 2346.578, 2905.439, 0.0
2022/1/17/20/3, 2318.934, 2868.254, 0.0
2022/1/17/21/3, 2053.709, 2850.207, 0.0
2022/1/17/22/3, 1710.446, 2832.656, 0.0
2022/1/17/23/3, 1622.439, 2818.75, 0.0
2022/1/17/24/3, 1492.353, 2770.397, 0.0
2022/1/18/1/3, 1313.43, 2699.97, 0.0
2022/1/18/2/3, 1153.013, 2653.457, 0.0
2022/1/18/3/3, 1116.578, 2601.505, 0.0
2022/1/18/4/3, 1187.363, 2500.503, 0.0
2022/1/18/5/3, 1416.071, 2235.335, 0.0
2022/1/18/6/3, 1442.964, 1884.241, 0.0
2022/1/18/7/3, 1957.694, 1481.081, 0.0
2022/1/18/8/3, 2252.175, 942.268, 0.0
2022/1/18/9/3, 2406.086, 883.416, 0.0
2022/1/18/10/3, 2460.541, 1055.822, 1.88
2022/1/18/11/3, 2422.885, 1471.732, 7.447
2022/1/18/12/3, 2363.899, 1943.591, 24.516
2022/1/18/13/3, 2295.602, 2278.378, 26.9
2022/1/18/14/3, 2328.527, 2415.862, 20.793
2022/1/18/15/3, 2139.099, 2556.167, 10.404
2022/1/18/16/3, 2011.286, 2491.414, 1.439
2022/1/18/17/3, 2082.631, 2502.003, 0.0
2022/1/18/18/3, 2130.974, 2453.498, 0.0
2022/1/18/19/3, 2141.013, 2455.284, 0.0
2022/1/18/20/3, 2036.687, 2401.286, 0.0
2022/1/18/21/3, 1931.789, 2437.139, 0.0
2022/1/18/22/3, 1772.298, 2448.002, 0.0
2022/1/18/23/3, 1450.662, 2461.271, 0.0
2022/1/18/24/3, 1171.171, 2531.36, 0.0
2022/1/19/1/3, 790.649, 2569.462, 0.0
2022/1/19/2/3, 761.512, 2600.597, 0.0
2022/1/19/3/3, 687.407, 2557.436, 0.0
2022/1/19/4/3, 636.506, 2585.766, 0.0
2022/1/19/5/3, 661.73, 2672.865, 0.0
2022/1/19/6/3, 851.783, 2626.496, 0.0
2022/1/19/7/3, 1236.498, 2628.253, 0.0
2022/1/19/8/3, 1708.571, 2746.773, 0.0
2022/1/19/9/3, 1945.826, 2652.757, 0.0
2022/1/19/10/3, 1955.249, 2584.363, 0.567
2022/1/19/11/3, 1890.404, 2613.697, 3.723
2022/1/19/12/3, 1877.171, 2634.683, 12.303
2022/1/19/13/3, 1813.737, 2606.439, 14.57
2022/1/19/14/3, 1842.046, 2469.773, 13.841
2022/1/19/15/3, 1746.268, 2447.664, 6.961
2022/1/19/16/3, 1745.788, 2426.253, 1.376
2022/1/19/17/3, 1918.365, 2390.577, 0.0
2022/1/19/18/3, 1983.78, 2346.467, 0.0
2022/1/19/19/3, 2134.124, 2295.635, 0.0
2022/1/19/20/3, 2202.391, 2190.882, 0.0
2022/1/19/21/3, 1720.308, 1845.74, 0.0
2022/1/19/22/3, 1342.16, 1386.074, 0.0
2022/1/19/23/3, 1460.09, 1156.894, 0.0
2022/1/19/24/3, 1368.365, 1258.777, 0.0
2022/1/20/1/3, 957.566, 1603.672, 0.0
2022/1/20/2/3, 802.42, 1937.125, 0.0
2022/1/20/3/3, 744.755, 2076.887, 0.0
2022/1/20/4/3, 738.547, 2242.201, 0.0
2022/1/20/5/3, 702.981, 2322.394, 0.0
2022/1/20/6/3, 777.175, 2405.084, 0.0
2022/1/20/7/3, 1206.691, 2544.266, 0.0
2022/1/20/8/3, 1635.305, 2664.384, 0.0
2022/1/20/9/3, 1947.767, 2654.754, 0.0
2022/1/20/10/3, 1947.846, 2599.704, 0.648
2022/1/20/11/3, 1939.377, 2531.244, 2.024
2022/1/20/12/3, 1913.144, 2473.281, 9.308
2022/1/20/13/3, 1964.233, 2329.858, 11.332
2022/1/20/14/3, 1873.463, 2280.608, 10.199
2022/1/20/15/3, 1820.049, 2256.917, 6.071
2022/1/20/16/3, 1849.55, 2274.101, 1.133
2022/1/20/17/3, 1995.634, 2403.923, 0.0
2022/1/20/18/3, 2203.354, 2599.594, 0.0
2022/1/20/19/3, 2169.048, 2791.326, 0.0
2022/1/20/20/3, 2127.577, 2877.381, 0.0
2022/1/20/21/3, 1879.664, 2892.641, 0.0
2022/1/20/22/3, 1531.265, 2919.648, 0.0
2022/1/20/23/3, 1361.709, 2955.229, 0.0
2022/1/20/24/3, 1226.08, 2967.407, 0.0
2022/1/21/1/3, 883.99, 2964.145, 0.0
2022/1/21/2/3, 709.566, 2966.689, 0.0
2022/1/21/3/3, 704.184, 2998.761, 0.0
2022/1/21/4/3, 699.805, 3005.401, 0.0
2022/1/21/5/3, 726.728, 2991.263, 0.0
2022/1/21/6/3, 814.491, 2977.114, 0.0
2022/1/21/7/3, 1080.216, 2955.577, 0.0
2022/1/21/8/3, 1612.351, 2944.221, 0.0
2022/1/21/9/3, 2100.316, 2887.454, 0.0
2022/1/21/10/3, 2200.264, 2825.599, 0.728
2022/1/21/11/3, 1972.022, 2806.395, 4.128
2022/1/21/12/3, 2005.299, 2770.608, 15.298
2022/1/21/13/3, 1890.559, 2749.157, 18.455
2022/1/21/14/3, 2016.637, 2808.963, 14.084
2022/1/21/15/3, 2040.364, 2839.842, 9.308
2022/1/21/16/3, 2107.643, 2879.877, 2.266
2022/1/21/17/3, 2210.593, 2859.346, 0.0
2022/1/21/18/3, 2326.522, 2876.162, 0.0
2022/1/21/19/3, 2253.969, 2843.651, 0.0
2022/1/21/20/3, 2195.228, 2773.883, 0.0
2022/1/21/21/3, 2072.989, 2651.349, 0.0
2022/1/21/22/3, 1854.459, 2518.178, 0.0
2022/1/21/23/3, 1676.226, 2342.844, 0.0
2022/1/21/24/3, 1480.712, 2151.341, 0.0
2022/1/22/1/3, 1383.469, 2008.084, 0.0
2022/1/22/2/3, 1294.953, 1734.196, 0.0
