Time, EnergyGeneration, StorageCapacity
2022/1/6/19/1, 4187.718, 15000.0
2022/1/6/20/1, 4277.859, 15000.0
2022/1/6/21/1, 4110.724, 15000.0
2022/1/6/22/1, 3896.367, 15000.0
2022/1/6/23/1, 3643.09, 15000.0
2022/1/6/24/1, 3538.457, 15000.0
2022/1/7/1/1, 3451.206, 15000.0
2022/1/7/2/1, 3311.429, 15000.0
2022/1/7/3/1, 3498.378, 15000.0
2022/1/7/4/1, 3479.277, 15000.0
2022/1/7/5/1, 3467.795, 15000.0
2022/1/7/6/1, 3520.995, 15000.0
2022/1/7/7/1, 3525.654, 15000.0
2022/1/7/8/1, 3665.417, 15000.0
2022/1/7/9/1, 3797.762, 15000.0
2022/1/7/10/1, 3730.601, 15000.0
2022/1/7/11/1, 3675.628, 15000.0
2022/1/7/12/1, 3599.084, 15000.0
2022/1/7/13/1, 3527.063, 15000.0
2022/1/7/14/1, 3325.657, 15000.0
2022/1/7/15/1, 3180.101, 15000.0
2022/1/7/16/1, 3353.248, 15000.0
2022/1/7/17/1, 3405.656, 15000.0
2022/1/7/18/1, 3475.38, 15000.0
2022/1/7/19/1, 3426.473, 15000.0
2022/1/7/20/1, 3274.329, 15000.0
2022/1/7/21/1, 3133.8, 15000.0
2022/1/7/22/1, 2828.498, 15000.0
2022/1/7/23/1, 2511.472, 15000.0
2022/1/7/24/1, 2067.06, 15000.0
2022/1/8/1/1, 1955.934, 15000.0
2022/1/8/2/1, 1781.44, 15000.0
2022/1/8/3/1, 1586.524, 15000.0
2022/1/8/4/1, 1405.829, 15000.0
2022/1/8/5/1, 1438.627, 15000.0
2022/1/8/6/1, 1482.031, 15000.0
2022/1/8/7/1, 1617.967, 15000.0
2022/1/8/8/1, 1886.762, 15000.0
2022/1/8/9/1, 2045.63, 15000.0
2022/1/8/10/1, 2219.312, 15000.0
2022/1/8/11/1, 2487.717, 15000.0
2022/1/8/12/1, 2602.021, 15000.0
2022/1/8/13/1, 2765.739, 15000.0
2022/1/8/14/1, 2781.804, 15000.0
